ISBN,Title,Genre,Year,Stock,Price,Author
393759818-9,Curse of the Blair Witch,Documentary|Horror|Thriller,2010,51,6.54,Richard Sharpe
440285254-4,Private Parts,Comedy|Drama,1989,35,16.49,Debee Olander
124528098-8,Trick 'r Treat,Comedy|Horror|Thriller,2012,22,6.35,Belva Reyes
001114523-4,"Initiation, The",Horror|Mystery|Thriller,2005,61,27.13,Fannie Denkin
893090441-6,"Slumber Party Massacre, The",Horror,1993,100,29.92,Martie Gehrtz
242388508-3,"Magic Sword, The",Drama|Fantasy,2011,86,29.76,Tami Boards
281621004-9,Cobb,Drama,2001,48,16.38,Doyle Wicher
786303814-6,"Bucket List, The",Comedy|Drama,2006,19,2.59,Joby Grainger
477620646-3,"Egyptian, The",Drama,2011,90,24.8,Angelina Craghead
523236083-3,Random Hearts,Drama|Romance,2011,13,2.23,Wolf Chipps
562382913-9,Wonder Bar,Comedy|Crime|Drama|Musical|Romance,1994,23,25.07,Zared McNally
538029264-X,Wanted! (Nachbarinnen),Drama,2007,74,29.44,Wright Bullingham
391530068-3,"Crimson Rivers 2: Angels of the Apocalypse (Rivières pourpres II - Les anges de l'apocalypse, Les)",Action|Crime|Thriller,1992,81,16.86,Dominic Akett
657081632-2,Everybody Wins,Drama|Mystery|Thriller,1991,20,22.42,Georgianna Kennifeck
156150583-8,"Bone Collector, The",Thriller,1998,47,8.74,Ellery Silwood
370761640-1,The Last Outpost,Western,2010,69,15.62,Karyl Stichall
316645468-3,"Big Blue, The (Grand bleu, Le)",Adventure|Drama|Romance,2012,71,2.36,Davidson Rontsch
885536581-9,"Mystery of Picasso, The (Le mystère Picasso)",Documentary,2002,51,26.96,Aleksandr Kellen
447157923-1,Encore,Comedy|Drama,2002,16,10.95,Inigo Glawsop
989029251-3,Vampire Apocalypse,Comedy|Horror,2002,45,3.98,Di Mouser
855381322-3,Psycho,Crime|Horror,1997,65,19.99,Matilde Glasscoo
784415753-4,Betsy's Wedding,Comedy,2002,21,15.57,Bobby Brodhead
444582101-2,"Last Boy Scout, The",Action|Comedy|Crime|Drama|Thriller,2010,6,13.36,Yvon Heningham
447234070-4,Dischord,Drama|Thriller,1985,9,27.2,Loralyn Geggie
256387287-1,Unborn in the USA: Inside the War on Abortion,Documentary,2010,49,6.95,Rube Dinnis
846977001-2,Tropic Thunder,Action|Adventure|Comedy|War,1999,48,23.76,Charmaine Waldocke
261840123-9,Boyz N the Hood,Crime|Drama,2003,2,18.42,Derry Champness
949470341-3,No Name on the Bullet,Western,1991,63,23.25,Tonie Wreak
716419290-1,"Sea Hawk, The",Action|Adventure|Romance,1992,55,25.11,Allen Brandone
101636468-7,Nayak: The Hero,Drama,1976,27,11.7,Cosme Meddows
968097924-5,Abraham Lincoln: Vampire Hunter,Action|Fantasy|Horror|Thriller,1997,3,25.88,Donnie Drysdale
316790427-5,Lost Horizon,Drama,2006,94,27.29,Sarah Crut
316796878-8,Operation Endgame,Action|Comedy|Drama,1999,40,29.16,Virgie Agius
624786560-0,"Man with Bogart's Face, The",Comedy,2012,21,26.37,Rina Cordie
632663441-5,Battle Beyond the Stars,Sci-Fi,2000,46,9.26,Maiga Danielian
941301420-5,Total Recall,Action|Adventure|Sci-Fi|Thriller,1995,21,22.12,Puff Barde
706499643-X,Gold Raiders,Comedy|Western,1999,2,3.4,Bettina Nicol
081968530-5,Life as a House,Drama,1999,54,13.75,Lukas Tincey
746940214-4,"Detective, The",Crime|Drama,2001,56,25.09,Flori Andress
776693005-6,D.O.A.,Drama|Film-Noir|Mystery,1998,72,8.28,Marsiella Coulthard
503937359-7,Harold and Maude,Comedy|Drama|Romance,2012,81,6.37,Melli Guilbert
223056198-7,Prophet's Prey,Crime|Documentary,2008,41,1.99,Joanie Tutchings
999588693-6,"Last House on the Left, The",Crime|Horror|Thriller,2007,83,8.38,Niel Slaughter
818283499-6,Too Many Cooks,Comedy,1992,79,2.54,Farah Hrinchishin
419021276-8,Heart of a Dog (Sobachye serdtse),Comedy|Drama|Sci-Fi,1990,22,14.95,Nadine Pratt
771045446-1,Author! Author!,Comedy|Drama,2009,83,15.2,Dev Castellet
843863022-7,Wild Zero,Action|Comedy|Horror|Romance|Sci-Fi,1992,72,13.57,Katrine Lere
236188390-2,Our Beloved Month of August (Aquele Querido Mês de Agosto),Romance,2009,47,7.33,Danna Whitty
635824484-1,"Defender, The (a.k.a. Bodyguard from Beijing, The) (Zhong Nan Hai bao biao)",Action,1987,23,12.07,Tania Arkwright
632916363-4,Living with Wolves,Documentary,1998,2,5.05,Ivory Lockhart
466882050-4,Hava Nagila: The Movie,Comedy|Documentary|Musical,1985,54,1.14,Berri Kemmey
243669806-6,The Hungover Games,Comedy,2011,91,17.59,Cecilla Bellay
016508089-2,Bad Chicken,Comedy,2003,100,26.07,Valentia Norkutt
696296555-9,Step Up All In,Drama|Musical|Romance,2009,89,15.32,Thia Willicott
093098318-1,"Trap: What Happened to Our Dream of Freedom, The",Documentary,1995,95,9.11,Trevor Oulner
126268406-4,Captain America: The First Avenger,Action|Adventure|Sci-Fi|Thriller|War,1998,61,4.71,Vittorio Sessions
211421534-2,The Feminine Touch,(no genres listed),2010,34,4.86,Gage Relton
330237842-4,Talking Funny,Comedy,2010,22,12.65,Vinnie Pedrazzi
811406450-1,Final Approach,Sci-Fi|Thriller,2012,20,15.02,Belvia Savile
315178626-X,Men in Black (a.k.a. MIB),Action|Comedy|Sci-Fi,2006,24,4.8,Wileen Hofer
943738196-8,Carbon Copy,Comedy,1993,4,6.65,Gianni Huckle
315632332-2,Call Me Madam,Comedy|Musical|Romance,2000,48,22.88,Nora Frisch
086650293-9,Caesar Must Die (Cesare deve morire),Drama,2008,27,18.32,Shell Backhouse
537391693-5,"Next Step, The",Drama,1999,96,27.82,Lynea Killner
211420470-7,Password: Uccidete agente Gordon,(no genres listed),2009,2,16.04,Shelley Stringfellow
578191257-6,Gravity,Action|Sci-Fi|IMAX,1994,62,5.71,Fiona Petrakov
872097947-9,Last Train from Gun Hill,Drama|Western,1999,5,4.24,Alma Pleasaunce
072032069-0,"Brothers Grimm, The",Comedy|Fantasy|Horror|Thriller,2009,28,23.94,Ethyl Toms
307411773-7,Trancers II,Action|Sci-Fi,1997,29,1.25,Alidia Llewelyn
341181664-3,Lesbian Vampire Killers,Action|Comedy|Horror,2002,54,5.67,Jacqueline Gripton
774975296-X,Donovan's Brain,Sci-Fi,2006,57,11.21,Zarah Ducarne
280813607-2,Welcome to Sarajevo,Drama|War,2006,32,22.3,Iggie Bleyman
431768634-1,Supermen of Malegaon,Documentary,2010,52,28.73,Essy Moxley
748231312-5,Storyville,Drama|Thriller,1967,50,13.06,Nana Youhill
336595451-1,Bullies,Action|Drama|Thriller,1992,36,5.23,Barclay Hedges
889906919-0,Deadline at Dawn,Film-Noir|Mystery|Romance|Thriller,2006,33,21.77,Shaine Keelinge
111492101-7,Candles on Bay Street ,Drama,2007,2,8.41,Nat Denziloe
110703169-9,Stir Crazy,Comedy,2007,71,7.41,Sloan Maylin
028636156-6,"Phantom Tollbooth, The",Adventure|Animation|Children|Fantasy,1998,41,2.38,Brandy Berney
116576070-3,North Dallas Forty,Comedy|Drama,2013,30,26.72,Pollyanna Swin
413414151-6,Under the Roofs of Paris (Sous les toits de Paris),Comedy|Drama|Romance,1992,33,27.63,Bobbye Carlisi
467395382-7,Gotti,Crime|Drama,2009,76,17.64,Lucila Goldine
148751294-5,"Yank in the R.A.F., A",Action|Adventure|Drama|Romance|War,2007,60,21.59,Valentin Larmour
951548485-5,Absolute Power,Mystery|Thriller,2011,38,19.49,Christabella Jallin
873377846-9,Who's Harry Crumb?,Comedy|Mystery,1995,65,18.62,Henryetta Tennock
909972338-5,"Moment of Truth, The (Il momento della verità)",Drama,2007,3,10.92,Briggs Kerins
290412406-3,9th Company,Action|Drama|War,1999,10,13.18,Hector Winslow
088078913-1,Grande école,Drama,2009,56,2.31,Lindie Habershon
030630917-3,The Garden of Sinners - Chapter 5: Paradox Paradigm,Animation,2009,63,26.89,Goran Wyse
152567691-1,Once in a Lifetime,Comedy,2008,15,29.73,Feliks Trustram
378480556-6,It Follows,Horror,2004,17,21.94,Karrie Elsy
666955858-9,Captive Heart: The James Mink Story,Drama,2005,17,26.28,Martica Foulks
866940898-8,Zorro,Action|Adventure|Comedy|Western,2002,84,11.95,Sofia Berggren
197619504-7,"Young Törless, The (Junge Törless, Der)",Drama,1993,67,28.04,Westbrooke Hegdonne
330621804-9,TerrorStorm: A History of Government-Sponsored Terrorism,Documentary,2007,22,15.87,Ardelle Kneeland
518101290-6,Metal Brothers (Mammas pojkar),Comedy,1989,74,29.53,Whitney Piotr
237338681-X,Forever Hardcore: The Documentary,Documentary,2011,92,23.34,Davis Geertsen
361231399-1,Chasers,Comedy,1994,28,7.25,Agneta Adelberg
927965533-7,Phantasm IV: Oblivion,Horror,1992,84,25.75,Zitella Faunt
765442738-7,Flipper,Adventure|Children,1992,44,3.02,Phyllis Cabrera
731384260-0,Beyond Outrage,Action,1995,14,18.08,Alberta Guess
255296247-5,Helsinki Napoli All Night Long,Comedy|Thriller,2011,99,20.52,Lorinda Ferry
736570855-7,Emo Philips Live,Comedy,2012,70,26.18,Tara Fitton
107863695-8,"Proposal, The",Comedy|Romance,2005,9,12.97,Killian Antoinet
730622323-2,Joseph and the Amazing Technicolor Dreamcoat,Musical,2005,14,5.87,Nicko Bromehed
329559090-7,"Last Airbender, The",Action|Adventure|Fantasy,2006,17,6.16,Bennett Boame
768628887-0,Red Sorghum (Hong gao liang),Drama|War,2008,30,25.43,Sophi Cabane
666092994-0,Tiptoes,Comedy|Drama|Romance,2011,64,27.88,Carleen Dunsford
182122180-X,"Blue Umbrella, The",Animation,2000,31,26.5,Rubetta Bristo
464140601-4,"Executioner, The (Massacre Mafia Style)",Crime|Drama|Thriller,2001,85,23.24,Dunstan Baxendale
213478181-5,Coco Chanel,Romance,1984,42,29.03,Monika Dusey
996868211-X,Mulholland Falls,Crime|Drama|Thriller,2012,11,24.98,Appolonia Toye
849902401-7,False Trail (Jägarna 2),Crime|Mystery|Thriller,1999,5,29.64,Aleda Hemms
718053658-X,Aftermath,Horror,2011,47,2.51,Mauricio Turbard
355574857-2,Feast of Love,Drama|Romance,1993,91,7.45,Monty Maulin
311944178-3,Let It Be,Documentary,1992,41,8.32,Sibelle Yendle
264747165-7,The Adventures of Hercules,Comedy|Fantasy,2005,3,21.12,Ruthann Maffulli
556734035-4,Gamer,Action|Sci-Fi|Thriller,2012,45,2.78,Terrye Keasey
721032592-1,Drained (O cheiro do Ralo),Comedy,2008,16,19.67,Maxwell Esmead
310420346-6,Foreign Land (Terra Estrangeira),Action|Crime|Drama|Romance|Thriller,2011,67,5.08,Rich Barnfield
125461598-9,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die)",Documentary,2008,17,22.63,Bertine Mollnar
034525727-8,Reform School Girls,Action|Drama,1998,25,21.77,Corney Joly
501750274-2,This Film Is Not Yet Rated,Documentary,2001,72,3.34,Pen Wyleman
641247845-0,"Princess Bride, The",Action|Adventure|Comedy|Fantasy|Romance,1977,8,3.47,Emelyne Artindale
498429638-0,I'm Still Here,Comedy|Drama,2009,60,16.2,Anett Berrick
865214463-X,Capone,Crime|Drama,2002,52,16.03,Frank Blanchette
521290078-6,Naked Weapon (Chek law dak gung),Action|Drama|Romance|Thriller,1995,34,23.19,Mil Ironmonger
823466480-8,"Ant Bully, The",Adventure|Animation|Children|Comedy|Fantasy|IMAX,2004,39,1.19,Ibby Bretherton
332898921-8,Going Down in LA-LA Land,Comedy|Drama|Romance,1986,83,5.15,Alden Glasbey
164528357-7,Ewoks: The Battle for Endor,Adventure|Children|Fantasy|Sci-Fi,1969,100,17.27,Nicki Umney
596468324-X,"Brink's Job, The",Comedy|Crime|Drama,2000,56,20.53,Shani O'Gaven
209970376-0,"Song of Bernadette, The",Drama,1992,23,17.45,Alexei Jeannon
638647851-7,Brother of Sleep (Schlafes Bruder),Drama,1999,51,1.3,Ingaborg Boustead
592844039-1,Selma,Drama,2011,70,6.29,Ruperta Bendon
266944920-4,Barefoot,Comedy|Drama|Romance,2005,43,22.2,Elisabetta Ugo
260742690-1,World Without End,Sci-Fi,1999,43,1.17,Oates Weben
735225578-8,Breathing Room,Horror|Mystery|Thriller,1996,24,1.03,Royal Shipman
358689918-1,After Image (Seeing in the Dark),Drama|Thriller,2012,71,11.66,Randolf Meardon
035731980-X,Meet Me at the Fair,Musical,1996,25,12.08,Karney Caramuscia
224636920-7,"Romantics, The",Comedy|Drama|Romance,2009,87,19.01,Phylys Catlin
927119442-X,"Big, Large and Verdone",Comedy,2011,60,26.92,Tommie Dominicacci
849159951-7,Stanley Kubrick's Boxes,Documentary,2002,27,15.73,Meredeth Van der Brug
560592563-6,Global Metal,Documentary,1990,62,27.97,Marie-ann Aldwich
466170750-8,We Are Young. We Are Strong.,Drama,1991,20,4.98,Pernell Antley
887585261-8,Prison Break: The Final Break,Action|Drama|Thriller,2003,6,13.26,Abner Faich
621869008-3,Secret Ceremony,Drama|Thriller,1995,11,11.64,Chico Grigorkin
214521111-X,Dolls,Drama|Romance,1984,7,23.88,Hanna Treacher
537952533-4,Disorder,Documentary,2000,35,12.14,Kit Skinner
003174241-6,I Love Sarah Jane,Horror|Romance,1992,10,13.94,Roderick Borzone
032120805-6,"Waiting Room, The",Documentary,1999,16,15.68,Inge Hyland
355224808-0,G.I. Jane,Action|Drama,1986,24,13.43,Ezekiel Kubes
516144331-6,Candy,Drama|Romance,2009,58,27.09,Myer Morrowe
995178851-3,Slasher House,Horror,2008,91,13.89,Hedvige Jerdan
772968867-0,"Union, The",Documentary,2009,22,29.04,Edy Taye
267062421-9,On the Edge (Hak bak do),Crime|Drama,2008,18,11.65,Nixie Devey
805625424-2,Pieces (Mil gritos tiene la noche) (One Thousand Cries Has the Night),Horror|Mystery|Thriller,2006,3,15.48,Sherline Deners
543148966-6,High and Dizzy,Comedy,2004,23,7.5,Dacia Boncore
514237448-7,Jack Frost 2: Revenge of the Mutant Killer Snowman,Horror,1963,6,10.61,Putnem MacColgan
854830628-9,Men with Guns,Drama,2002,41,17.54,Grantham Bengtson
863801467-8,Warlock,Romance|Western,1997,24,4.8,Lorianne Steptoe
602499850-3,My Boy,Comedy|Drama,2010,81,23.59,Chev Asplin
861228171-7,The Perfect World of Kai,Animation|Drama,1996,39,13.42,Pearla Pond-Jones
214804736-1,The Voice of the Moon,Adventure|Comedy|Drama,1996,8,28.6,Amitie Brumpton
244202584-1,"Nine Lives of Fritz the Cat, The",Animation,1984,81,13.72,Rhonda McDougald
428287163-6,"Island, The",Action|Sci-Fi|Thriller,2007,51,25.32,Laurence Dearman
011631742-6,Spine Tingler!  The William Castle Story,Documentary,1991,9,28.3,Shoshana Wolfinger
141367648-0,"Time to Live, a Time to Die, A (Tong nien wang shi)",Drama,1995,25,1.64,Claudetta Tapscott
188442835-5,Earth,Documentary,2005,47,8.63,Bald Molloy
387962430-5,"House Built on Water, A (Khanei ruye ab)",Thriller,1994,6,8.97,Birgitta Paver
078767012-X,Lone Wolf and Cub: Baby Cart in Peril (Kozure Ôkami: Oya no kokoro ko no kokoro),Action,2007,13,5.92,Ekaterina Rentoll
495919439-1,One-Way Ticket to Mombasa (Menolippu Mombasaan),Comedy|Drama,1988,94,15.63,Yvor Meneo
044143690-0,Tango,Drama|Musical,1996,99,24.59,Adelaida Gronou
397140104-X,Werewolf Woman (La lupa mannara),Horror,2009,77,11.98,Karla Longman
235940995-6,Welcome to New York,Drama,2004,30,26.99,Everett Dunthorn
023091172-2,May,Drama|Horror,2009,47,13.1,Anderea Tarbert
047039994-5,Way Down East,Drama|Romance,2009,16,22.31,Christy Lawerence
899112496-8,"River, The",Drama|Romance,1994,83,11.65,Clareta De Giorgi
128963370-3,Dinotopia: Quest for the Ruby Sunstone,Children|Fantasy|Sci-Fi,2008,71,16.47,Elwyn Kenealy
729437628-X,Days of Being Wild (A Fei jingjyuhn),Drama|Romance,1985,64,10.24,Godfry Puleston
278130987-7,"Trial of Billy Jack, The",Action|Drama|Musical,1996,86,24.19,Erastus Philot
994075166-4,Love Is All There Is,Comedy|Drama,2005,28,13.85,Casper Bayne
761792445-3,Warriors of Virtue,Action|Adventure|Children|Fantasy,1986,67,17.98,Gabriele Capron
350956759-5,Come to the Stable,Drama,2005,55,16.93,Roberto Truman
311623524-4,"Sorcerer and the White Snake, The (Bai she chuan shuo)",Action|Fantasy|Romance,2005,25,16.38,Benedict Covell
313769079-X,25 Watts,Comedy|Drama,2008,66,10.0,Gaspar Beneteau
406932927-7,"Queen, The",Drama,2007,96,29.07,Bronson Ollier
490863992-2,Toy Soldiers,Action|Drama,2007,80,10.8,Christiane O'Nions
055636569-0,Música Campesina (Country Music),Comedy|Drama,2007,62,9.54,Lyon Freathy
750250978-X,"Life of Oharu, The (Saikaku ichidai onna)",Drama,1996,22,10.3,Norry Durbann
475325243-4,Making 'The New World',Documentary,1992,60,29.22,Andie Cretney
283071417-2,It's My Mother's Birthday Today,(no genres listed),2001,29,28.13,Dalston Danko
401301987-6,Spy Hard,Comedy,1999,76,4.49,Stacy Bernini
171204021-9,"Man with the Iron Fists, The",Action|Adventure|Crime,1989,87,8.07,Heidie Soppett
741053356-0,"American Friend, The (Amerikanische Freund, Der)",Crime|Drama|Mystery|Thriller,1994,96,2.5,Llywellyn Cronchey
316884739-9,Pumzi,Sci-Fi,2004,56,23.17,Mikol Ditts
185232608-5,Machine Gun Preacher,Action|Crime,2010,69,18.99,Horatius Wearden
762447829-3,"Tracker, The",Drama,2009,3,16.41,Osborne Dunks
036562180-3,Marie-Jo and Her 2 Lovers (Marie-Jo et ses 2 amours),Comedy|Drama,2012,8,22.49,Vally Gladwell
692292132-1,"Man Who Captured Eichmann, The",Drama|War,1991,81,14.35,Norina Enders
522371681-7,Middle of Nowhere,Drama|Romance,1986,34,12.66,Lynne Veivers
338380784-3,Avenue Montaigne (Fauteuils d'orchestre),Comedy|Drama|Romance,1988,77,11.15,Sebastiano Clail
411531937-2,40 Days and 40 Nights,Comedy|Romance,2008,97,23.26,Kippie Hallaways
510020105-3,Sink or Swim,Documentary,1994,98,19.55,Mozelle Attiwill
013406988-9,Willy Wonka & the Chocolate Factory,Children|Comedy|Fantasy|Musical,1993,22,23.25,Alie Robjohns
159806100-3,"Rainmaker, The",Comedy|Romance|Thriller|Western,2000,8,29.63,Zorah Niese
210349010-X,Paziraie Sadeh,Drama,1995,91,19.22,Gauthier Simper
058576941-9,Babylon 5: In the Beginning,Adventure|Sci-Fi,1989,15,6.04,Ryan Dingate
353262006-5,"Feuer, Eis & Dosenbier",Comedy,2002,37,5.53,Malina Tarborn
383192355-8,Electric Shadows (Meng ying tong nian),Drama,1995,21,25.64,Alix Bradfield
957120396-3,No Way Out,Drama|Mystery|Thriller,2002,51,15.79,Kara Castelluzzi
339024032-2,"Dam Busters, The",Action|Drama|War,1993,43,4.22,Alvy Kerne
436304986-3,Help! I'm A Fish,Adventure|Animation|Comedy,1992,17,19.09,Cilka Course
741686406-2,Skippy,Comedy|Drama,1994,65,28.73,Deloris Lambrechts
685692105-5,Ambition,Sci-Fi,2004,40,28.96,Hanna Pritchard
803300375-8,Silent Night,Horror,2006,49,7.81,Joshuah Hazleton
471432329-6,Airplane II: The Sequel,Comedy,2003,63,20.78,Edmund Welchman
853563856-3,Looking for Maria Sanchez,Comedy|Romance,1989,55,11.91,Wilhelmine Fairest
009753572-9,Murder!,Mystery|Thriller,2010,100,20.3,Maxi Dyerson
415133508-0,Klimt,Drama,2003,22,3.88,Lucho Jerzycowski
171140931-6,Yeti: The Giant of the 20th Century,Adventure|Fantasy,2001,65,25.69,Andra Firby
026312960-8,Make Believe,Documentary,2005,13,12.41,Valaree Christiensen
732703591-5,Bad Medicine,Comedy,1986,63,8.81,Glennie Dearnaley
593847885-5,Something Like Happiness (Stestí),Comedy|Drama,1994,8,22.82,Pier Shrimpling
709625048-4,My Night At Maud's (Ma Nuit Chez Maud),Comedy|Drama|Romance,1999,26,2.8,Kasper Easom
984553731-6,"Notorious Landlady, The",Comedy|Mystery,2005,56,26.54,Vicki Ascrofte
477590250-4,Lightning Jack,Comedy|Western,1993,75,1.47,Orrin Bisatt
608258144-X,Love and Pain and the Whole Damn Thing,Comedy|Drama,1994,10,16.84,Tiffie Casillas
430576433-4,Wyvern,Horror|Sci-Fi|Thriller,1993,66,19.63,Leoine Swainsbury
268872797-4,Sweet Home Alabama,Comedy|Romance,2008,57,29.36,Willa Blythin
059806516-4,Blossoms in the Dust,Drama,2008,64,13.25,Ekaterina Crystal
076243898-3,Get Low,Comedy|Drama|Mystery,1998,7,8.92,Matthias MacMenamy
175343550-1,California Suite,Comedy,2004,60,2.49,Arleen Drewes
773185085-4,"House Built on Water, A (Khanei ruye ab)",Thriller,2007,68,23.79,Romona Cohen
612583813-7,Any Day Now,Drama,1990,13,13.78,Ronny Leppington
263503562-8,"Angels' Share, The",Comedy|Drama,2011,43,27.84,Gianina Marages
182700216-6,Dallas,Western,1999,11,22.48,Laverna Shepherdson
781149717-4,Fat Kid Rules the World,Comedy,1989,64,2.68,Gerrie Artois
735995534-3,Come Have Coffee with Us,Comedy,2012,49,10.38,Egan Vose
546703707-2,Australian Atomic Confessions,Documentary,1997,9,1.24,Caril Prestner
970827508-5,Assassination of a High School President,Comedy|Drama|Mystery,1992,2,1.74,Babita Giacomazzo
836548225-8,Duets,Comedy|Drama,1996,72,15.0,Raynor Spinley
921879707-7,Lettera Amorosa,(no genres listed),2003,86,20.4,Sid Sleney
484609535-5,"Seven Year Itch, The",Comedy,2004,22,23.45,Lynett Shippam
044356123-0,Blue Streak,Comedy,1989,51,22.03,Deborah Darlasson
455836725-2,Protocols of Zion,Documentary,2005,77,7.8,Sayers Dutnall
663710159-1,Brain Damage,Comedy|Horror,2003,90,7.88,Cordi Boatwright
260788388-1,"Den, The",Horror|Thriller,2008,72,10.57,Griz Kinworthy
289314972-3,Coco Chanel,Romance,1994,17,9.57,Lark Elbourn
817465499-2,The Kick,Action,2005,86,25.58,Helaina Boggas
165952230-7,Novocaine,Comedy|Crime|Mystery|Thriller,1986,95,22.21,Will Vedeniktov
025812219-6,Piggy,Thriller,2008,85,26.72,Dedie Morson
061114541-3,In the Good Old Summertime,Musical,2002,98,24.74,Lavinie Liverock
465916536-1,"Cheerleaders, The",Comedy,2006,86,26.3,Ramonda De Bruyn
383016134-4,17 Girls (17 filles),Drama,1966,93,29.05,Boy Bouchard
608281701-X,"Offence, The",Crime|Drama|Mystery,1992,43,8.43,Gerrie Marcus
996812366-8,Sarah Silverman: Jesus Is Magic,Comedy|Musical,1993,88,27.32,Donnie De Filippis
171376048-7,Cluny Brown,Comedy|Romance,2000,26,22.51,Bernadene Pfeifer
986839348-5,Flicker,Horror,2005,96,29.31,Fionna Bowfin
444036973-1,Thelma & Louise,Adventure|Crime|Drama,2006,14,10.87,Gavin Ingleton
912356813-5,Semi-Pro,Comedy,1992,74,16.55,Timmi Sier
511478514-1,Storyville,Drama|Thriller,1993,87,13.14,Sebastiano Husk
454768032-9,Promises,Documentary,1999,74,7.59,Richart Maunder
440427926-4,Everybody's All-American,Romance,2003,9,14.57,Shelba Land
824788069-5,Stop Train 349,Drama,1994,67,29.41,Boone Brettoner
781841106-2,Johns,Drama,1998,36,1.28,Gasparo Wattingham
669867629-2,Last Summer in the Hamptons,Comedy|Drama,1996,57,11.55,Kalila Bertolaccini
238817848-7,White Shadows in the South Seas,Drama|Romance,1996,34,3.66,Jessie Simonich
728204354-X,Reign Over Me,Drama,1992,18,22.7,Tibold Elkin
060210600-1,El Lobo,Thriller,2011,90,14.66,Harv Ulyat
157675162-7,Virgin Territory,Adventure|Comedy|Romance,2006,68,3.65,Leora Tanser
747342834-9,The Valley of Gwangi,Sci-Fi|Thriller|Western,2005,13,13.24,Gerladina Schulter
281012873-1,"Park Is Mine, The",Action|Drama|Thriller,2000,97,4.62,Mathe Shiels
075231962-0,"Trials of Oscar Wilde, The",Drama,1993,32,5.25,Reginald Lammers
420146075-4,September,Drama,2011,51,27.33,Minnnie L'Archer
